arm,subjectid,objectid,predicate,types,answer,correct,inputTokens,outputTokens,cost,latencyMs,error
wkt,node_3297234015,"road_(3297233876, 3297234015)",touches,Point-LineString,"(point,touches,linestring)",true,209,9,0.000254,1035,
wkt,node_3295236003,"road_(3295236002, 3295236003)",touches,Point-LineString,"(point,touches,linestring)",true,209,9,0.000254,871,
wkt,"road_(3297233868, 3297233867)",node_3297233868,touches,LineString-Point,"(linestring,contains,point)",false,209,9,0.000254,727,
wkt,census_550250002021,node_1883218361,contains,Polygon-Point,"(polygon,contains,point)",true,293,11,0.000348,811,
wkt,node_1883218361,"road_(3297233876, 1883218361)",touches,Point-LineString,"(point,touches,linestring)",true,209,9,0.000254,1100,
wkt,"road_(5656937050, 6355822626)","road_(5474511978, 6355822626)",touches,LineString-LineString,"(linestring,overlaps,linestring)",false,219,11,0.000274,856,
wkt,poi_way/158454839,"road_(5656937050, 6355822626)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,264,11,0.000319,841,
wkt,poi_way/158454839,"road_(5474511978, 6355822626)",contains,LineString-LineString,"(linestring,crosses,linestring)",false,264,10,0.000314,969,
wkt,poi_way/177921886,"road_(3297233870, 3297233868)",overlaps,LineString-LineString,"(linestring,overlaps,linestring)",true,264,11,0.000319,1034,
wkt,"road_(6355822626, 5474511978)","road_(6355822626, 5656937050)",touches,LineString-LineString,"(linestring,overlaps,linestring)",false,219,11,0.000274,818,
wkt,census_550250020003,"road_(1706466103, 5474511978)",crosses,Polygon-LineString,"(polygon,touches,linestring)",false,305,10,0.000355,915,
wkt,"road_(1428256967, 454661228)","road_(454661228, 5474023649)",contains,LineString-LineString,"(linestring,touches,linestring)",false,221,10,0.000271,821,
wkt,census_550250027002,census_550250020003,overlaps,Polygon-Polygon,"(polygon,overlaps,polygon)",true,433,11,0.000488,854,
wkt,census_550259917030,census_550250020003,overlaps,Polygon-Polygon,"(polygon,overlaps,polygon)",true,887,13,0.000952,878,
wkt,poi_way/322871021,"road_(53424245, 53424238)",contains,LineString-LineString,"(linestring,within,linestring)",false,264,10,0.000314,877,
wkt,"road_(2614129376, 53614878)","road_(53614878, 3702207548)",contains,LineString-LineString,"(linestring,touches,linestring)",false,220,10,0.00027,743,
wkt,poi_way/239588234,"road_(5629000007, 5629000643)",overlaps,LineString-LineString,"(linestring,overlaps,linestring)",true,316,11,0.000371,919,
wkt,"road_(2614129376, 53614878)","road_(3702207548, 53614878)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,220,11,0.000275,952,
wkt,"road_(53562592, 7842177531)","road_(53562592, 7842177529)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,221,11,0.000276,1165,
wkt,poi_way/239588234,"road_(3295593433, 5629000005)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,314,11,0.000369,1133,
wkt,"road_(53614878, 2614129376)","road_(2614129376, 3702207550)",contains,LineString-LineString,"(linestring,touches,linestring)",false,220,10,0.00027,889,
wkt,parcel_70811302752,"road_(7325731418, 7325731419)",disjoint,Polygon-LineString,"(polygon,disjoint,linestring)",true,252,14,0.000322,870,
wkt,poi_way/88892233,"road_(7325731419, 7325731418)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,265,11,0.00032,876,
wkt,poi_way/177780129,"road_(2559417711, 4328501578)",contains,LineString-LineString,"(linestring,within,linestring)",false,413,10,0.000463,814,
wkt,"line_road_(53589772, 445964702)",census_550250020003,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,316,12,0.000376,1737,
wkt,"road_(3891862904, 53461235)","road_(53461235, 3891862900)",contains,LineString-LineString,"(linestring,touches,linestring)",false,220,10,0.00027,788,
wkt,census_550250111042,"road_(53461235, 3891862900)",contains,Polygon-LineString,"(polygon,contains,linestring)",true,275,12,0.000335,801,
wkt,poi_way/303873342,"road_(1596592425, 8169344295)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,249,11,0.000304,816,
wkt,poi_way/177780129,"road_(4328501578, 2559417711)",contains,LineString-LineString,"(linestring,contains,linestring)",true,413,10,0.000463,1035,
wkt,poi_way/88892233,"road_(7325731418, 7325731419)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,265,11,0.00032,1187,
wkt,poi_way/177780129,"road_(53626917, 4328501578)",overlaps,LineString-LineString,"(linestring,crosses,linestring)",false,424,10,0.000474,1183,
wkt,"line_road_(53701568, 1596769289)","road_(8169344295, 1596592425)",touches,LineString-LineString,"(linestring,touches,linestring)",true,227,10,0.000277,879,
wkt,node_1596592425,"road_(1596592425, 8169344295)",touches,Point-LineString,"(point,touches,linestring)",true,206,9,0.000251,987,
wkt,"road_(53614878, 2614129376)","road_(53614878, 3702207548)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,220,11,0.000275,1629,
wkt,poi_way/303873342,"road_(8169344295, 1596592425)",contains,LineString-LineString,"(linestring,contains,linestring)",true,249,10,0.000299,1003,
wkt,poi_way/303873342,node_1596592548,contains,LineString-Point,"(linestring,contains,point)",true,239,9,0.000284,831,
wkt,node_1596769289,"road_(8169344295, 1596592425)",touches,Point-LineString,"(point,touches,linestring)",true,206,9,0.000251,892,
wkt,"road_(53689312, 4095606995)",poi_way/407512857,touches,LineString-LineString,"(linestring,touches,linestring)",true,313,10,0.000363,816,
wkt,poi_way/148110028,"road_(1612121520, 6404899260)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,245,11,0.0003,843,
wkt,census_550250111012,"road_(7325731416, 2771578833)",contains,Polygon-LineString,"(polygon,contains,linestring)",true,351,10,0.000401,1800,
wkt,node_6404899260,"road_(1612121520, 6404899260)",touches,Point-LineString,"(point,touches,linestring)",true,205,9,0.00025,869,
wkt,"road_(4248803393, 2573847767)","road_(5717826293, 2573847767)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,219,11,0.000274,1049,
wkt,poi_way/297754318,"road_(1221086423, 4812520481)",crosses,LineString-LineString,"(linestring,overlaps,linestring)",false,468,11,0.000523,926,
wkt,poi_way/297754318,census_550250025002,crosses,LineString-Polygon,"(linestring,within,polygon)",false,553,10,0.000603,799,
wkt,census_550250025001,"road_(53457640, 53457639)",touches,Polygon-LineString,"(polygon,contains,linestring)",false,437,10,0.000487,1164,
wkt,"road_(2951828414, 5574927974)",census_550250005061,crosses,LineString-Polygon,"(linestring,within,polygon)",false,395,10,0.000445,922,
wkt,"road_(53457640, 53457642)",census_550250025002,touches,LineString-Polygon,"(linestring,within,polygon)",false,316,10,0.000366,1088,
wkt,poi_way/297754318,"road_(53457640, 53457639)",contains,LineString-LineString,"(linestring,contains,linestring)",true,458,10,0.000508,1407,
wkt,"road_(452827519, 2951828414)","road_(2951828414, 5574927974)",contains,LineString-LineString,"(linestring,touches,linestring)",false,221,10,0.000271,1064,
wkt,poi_way/682541525,poi_way/682541526,contains,LineString-LineString,"(linestring,equals,linestring)",false,265,10,0.000315,836,
wkt,parcel_60801113048,census_550250005061,within,Polygon-Polygon,"(polygon,within,polygon)",true,426,12,0.000486,985,
wkt,"road_(3397691531, 53451482)","road_(2343949504, 53451482)",contains,LineString-LineString,"(linestring,overlaps,linestring)",false,221,11,0.000276,1769,
wkt,poi_node/5696998713,census_550250016032,within,Point-Polygon,"(point,within,polygon)",true,253,9,0.000298,798,
wkt,poi_way/245020875,census_550250016031,crosses,LineString-Polygon,"(linestring,within,polygon)",false,318,10,0.000368,916,
wkt,parcel_70923104106,census_550250016032,disjoint,Polygon-Polygon,"(polygon,within,polygon)",false,284,12,0.000344,876,
wkt,poi_way/682541525,poi_node/8949860972,disjoint,LineString-Point,"(linestring,disjoint,point)",true,242,11,0.000297,1321,
wkt,line_poi_way/250056075,"road_(6913000672, 8428070248)",disjoint,LineString-LineString,"(linestring,disjoint,linestring)",true,309,12,0.000369,904,
wkt,"road_(5035197660, 53567677)","road_(4094503860, 5035197659)",touches,LineString-LineString,"(linestring,touches,linestring)",true,221,10,0.000271,821,
wkt,"road_(1179412753, 53606441)","road_(53606441, 8703346603)",contains,LineString-LineString,"(linestring,touches,linestring)",false,217,10,0.000267,1243,
wkt,"road_(5035197659, 8427472355)","road_(53567677, 4094503860)",touches,LineString-LineString,"(linestring,overlaps,linestring)",false,221,11,0.000276,926,
wkt,census_550250021001,"road_(5035197660, 53567677)",touches,Polygon-LineString,"(polygon,touches,linestring)",true,308,10,0.000358,888,
wkt,census_550250022002,"road_(5035197655, 4094503860)",touches,Polygon-LineString,"(polygon,touches,linestring)",true,282,12,0.000342,916,
wkt,"road_(53519789, 53519791)",census_550250111042,within,LineString-Polygon,"(linestring,within,polygon)",true,285,10,0.000335,839,
wkt,parcel_70929407108,"road_(2634656388, 3455066691)",disjoint,Polygon-LineString,"(polygon,disjoint,linestring)",true,247,14,0.000317,849,
wkt,"road_(53567677, 5035197656)",census_550250022002,touches,LineString-Polygon,"(linestring,disjoint,polygon)",false,282,12,0.000342,1014,
wkt,"road_(5035197659, 8427472355)",census_550250021001,touches,LineString-Polygon,"(linestring,disjoint,polygon)",false,308,12,0.000368,913,
wkt,"road_(53312115, 53312116)","road_(3782790085, 3299351920)",contains,LineString-LineString,"(linestring,touches,linestring)",false,216,10,0.000266,1504,
wkt,census_550250004071,"road_(4789043510, 2842212035)",crosses,Polygon-LineString,"(polygon,contains,linestring)",false,263,12,0.000323,811,
wkt,"road_(5869555781, 4812509955)",census_550250025002,touches,LineString-Polygon,"(linestring,touches,polygon)",true,316,10,0.000366,2351,
wkt,census_550250005041,census_550250004071,touches,Polygon-Polygon,"(polygon,touches,polygon)",true,352,10,0.000402,848,
wkt,"road_(2842212044, 8018863474)",census_550250004071,touches,LineString-Polygon,"(linestring,within,polygon)",false,265,10,0.000315,1186,
wkt,"road_(53556033, 53440446)","road_(53556033, 8427449165)",touches,LineString-LineString,"(linestring,touches,linestring)",true,232,10,0.000282,843,
wkt,poi_way/258408012,"road_(53319125, 1236925410)",overlaps,LineString-LineString,"(linestring,contains,linestring)",false,293,10,0.000343,961,
wkt,"road_(7806219787, 3298977941)",census_550250002012,touches,LineString-Polygon,"(linestring,within,polygon)",false,294,10,0.000344,884,
wkt,"road_(53301578, 3298971950)",census_550250002012,touches,LineString-Polygon,"(linestring,within,polygon)",false,294,10,0.000344,899,
wkt,"road_(3298977876, 53570051)",census_550250002012,touches,LineString-Polygon,"(linestring,within,polygon)",false,293,10,0.000343,990,
wkt,node_7806219791,census_550250002012,touches,Point-Polygon,"(point,within,polygon)",false,282,9,0.000327,902,
wkt,parcel_70918314950,census_550250002012,disjoint,Polygon-Polygon,"(polygon,disjoint,polygon)",true,409,12,0.000469,835,
wkt,"road_(53483466, 3362623518)","road_(3362623518, 2633805505)",touches,LineString-LineString,"(linestring,touches,linestring)",true,220,10,0.00027,865,
wkt,"road_(2624146422, 2624146421)",census_550250111013,within,LineString-Polygon,"(linestring,within,polygon)",true,304,10,0.000354,829,
wkt,"road_(3949217472, 3949217704)","road_(53429525, 3949217704)",touches,LineString-LineString,"(linestring,touches,linestring)",true,221,10,0.000271,754,
wkt,polygon_census_550250021001,"road_(10781526611, 5035134454)",touches,Polygon-LineString,"(polygon,touches,linestring)",true,319,12,0.000379,1027,
wkt,"road_(3264492164, 8428070248)",census_550250023012,touches,LineString-Polygon,"(linestring,touches,polygon)",true,383,10,0.000433,1059,
wkt,parcel_60801403051,"road_(53429525, 3949217704)",disjoint,Polygon-LineString,"(polygon,disjoint,linestring)",true,251,14,0.000321,845,
wkt,parcel_60801121033,"road_(3949217704, 3949217472)",touches,Polygon-LineString,"(polygon,crosses,linestring)",false,251,12,0.000311,817,
wkt,census_550250021003,"road_(3862990016, 3863029117)",touches,Polygon-LineString,"(polygon,touches,linestring)",true,297,12,0.000357,802,
wkt,"road_(2948595002, 9741631610)",census_550250021003,crosses,LineString-Polygon,"(linestring,disjoint,polygon)",false,297,12,0.000357,856,
wkt,poi_way/991483142,poi_way/236641755,crosses,LineString-LineString,"(linestring,overlaps,linestring)",false,357,11,0.000412,840,
wkt,parcel_71006119153,census_550250021003,within,Polygon-Polygon,"(polygon,within,polygon)",true,330,10,0.00038,1003,
wkt,poi_way/323365910,"road_(3949217704, 3949217472)",overlaps,LineString-LineString,"(linestring,overlaps,linestring)",true,317,11,0.000372,1294,
wkt,"road_(454667310, 454667344)","road_(454667367, 454667310)",touches,LineString-LineString,"(linestring,overlaps,linestring)",false,220,11,0.000275,1890,
wkt,poi_way/158450282,census_550250021003,crosses,LineString-Polygon,"(linestring,overlaps,polygon)",false,349,11,0.000404,1151,
wkt,census_550250012003,"road_(2987035525, 3035654115)",touches,Polygon-LineString,"(polygon,touches,linestring)",true,283,12,0.000343,854,
wkt,polygon_parcel_70922423169,"road_(2573847794, 3455706876)",disjoint,Polygon-LineString,"(polygon,disjoint,linestring)",true,262,14,0.000332,1332,
wkt,poi_way/991483142,census_550250004073,crosses,LineString-Polygon,"(linestring,overlaps,polygon)",false,410,11,0.000465,1058,
wkt,"road_(3863029118, 6429362846)",census_550250021003,touches,LineString-Polygon,"(linestring,overlaps,polygon)",false,297,11,0.000352,1464,
wkt,node_1340867085,census_550250109081,within,Point-Polygon,"(point,within,polygon)",true,335,9,0.00038,813,
wkt,parcel_70803453802,census_550250109081,within,Polygon-Polygon,"(polygon,disjoint,polygon)",false,376,14,0.000446,844,
wkt,parcel_71005303054,census_550250021003,disjoint,Polygon-Polygon,"(polygon,disjoint,polygon)",true,327,14,0.000397,1616,
wkt,census_550250016041,census_550250016032,touches,Polygon-Polygon,"(polygon,touches,polygon)",true,309,445,0.002534,4194,
wkt,node_6273095993,"road_(6458893219, 6273095993)",touches,Point-LineString,"(point,touches,linestring)",true,209,9,0.000254,957,
wkt,parcel_70933202122,census_550250007003,within,Polygon-Polygon,"(polygon,within,polygon)",true,371,12,0.000431,810,
wkt,"road_(4094503864, 53615869)",polygon_census_550250021001,touches,LineString-Polygon,"(linestring,within,polygon)",false,319,10,0.000369,816,
wkt,"road_(4137616404, 4137616397)","road_(5474024230, 4137616404)",touches,LineString-LineString,"(linestring,overlaps,linestring)",false,217,11,0.000272,826,
wkt,poi_way/100404782,census_550250007003,crosses,LineString-Polygon,"(linestring,overlaps,polygon)",false,407,11,0.000462,1038,
wkt,"road_(53313953, 2572189888)",polygon_census_550250021001,crosses,LineString-Polygon,"(linestring,within,polygon)",false,319,10,0.000369,961,
wkt,line_poi_way/133909830,census_550250007003,crosses,LineString-Polygon,"(linestring,within,polygon)",false,405,10,0.000455,1045,
wkt,census_550250011021,"road_(4055583001, 53370766)",touches,Polygon-LineString,"(polygon,touches,linestring)",true,263,12,0.000323,982,
wkt,poi_node/9731727701,census_550250109081,within,Point-Polygon,"(point,within,polygon)",true,335,9,0.00038,1879,
wkt,census_550250002052,"road_(443884094, 53293872)",disjoint,Polygon-LineString,"(polygon,disjoint,linestring)",true,348,14,0.000418,882,
wkt,"road_(1233020948, 6137713274)",poi_way/1135060542,disjoint,LineString-LineString,"(linestring,disjoint,linestring)",true,263,12,0.000323,760,
wkt,poi_way/28773321,node_10580933442,contains,LineString-Point,"(linestring,contains,point)",true,629,9,0.000674,936,
wkt,census_550250104002,"road_(1223055458, 1222841156)",disjoint,Polygon-LineString,"(polygon,disjoint,linestring)",true,436,14,0.000506,1333,
wkt,poi_way/1135060635,node_1221340744,disjoint,LineString-Point,"(linestring,disjoint,point)",true,240,11,0.000295,850,
wkt,node_10580933543,poi_way/28773321,within,Point-LineString,"(point,touches,linestring)",false,630,11,0.000685,805,
wkt,poi_way/677658703,poi_node/10555048810,contains,LineString-Point,"(linestring,contains,point)",true,231,9,0.000276,771,
wkt,poi_way/1135060630,poi_way/28773321,crosses,LineString-LineString,"(linestring,overlaps,linestring)",false,675,11,0.00073,877,
wkt,"road_(2384881664, 2384881666)",node_2384881664,touches,LineString-Point,"(linestring,contains,point)",false,209,9,0.000254,1432,
wkt,poi_way/281753948,node_1848954740,contains,LineString-Point,"(linestring,contains,point)",true,314,9,0.000359,991,
wkt,census_550250032001,node_1859407161,contains,Polygon-Point,"(point,within,polygon)",false,473,9,0.000518,860,
wkt,poi_way/28773321,node_10580933572,contains,LineString-Point,"(linestring,contains,point)",true,630,9,0.000675,862,
wkt,poi_way/1135060522,node_10580933442,contains,LineString-Point,"(linestring,contains,point)",true,273,9,0.000318,1493,
wkt,census_550250005051,"road_(3949217807, 3949217789)",contains,Polygon-LineString,"(polygon,within,linestring)",false,275,460,0.002575,3676,
wkt,poi_way/28773321,poi_way/1135060527,crosses,LineString-LineString,"(linestring,overlaps,linestring)",false,675,11,0.00073,1055,
wkt,poi_way/1135060523,poi_way/1135060527,overlaps,LineString-LineString,"(linestring,crosses,linestring)",false,284,10,0.000334,871,
wkt,node_2384881664,"road_(2384881664, 2384881666)",touches,Point-LineString,"(point,touches,linestring)",true,209,9,0.000254,2206,
wkt,poi_way/1135060544,poi_way/1135060527,crosses,LineString-LineString,"(linestring,overlaps,linestring)",false,287,11,0.000342,1034,
wkt,poi_way/1135060648,poi_way/1135060644,crosses,LineString-LineString,"(linestring,touches,linestring)",false,285,10,0.000335,923,
wkt,node_7876047329,poi_way/1135060527,disjoint,Point-LineString,"(point,disjoint,linestring)",true,242,11,0.000297,995,
wkt,poi_way/28773321,poi_way/1135060641,crosses,LineString-LineString,"(linestring,overlaps,linestring)",false,664,11,0.000719,979,
wkt,poi_way/105682540,poi_way/1135060628,disjoint,LineString-LineString,"(linestring,disjoint,linestring)",true,295,14,0.000365,967,
wkt,poi_way/1135060551,poi_way/1135060563,crosses,LineString-LineString,"(linestring,overlaps,linestring)",false,287,11,0.000342,800,
wkt,poi_way/232698245,node_3455066661,contains,LineString-Point,"(linestring,touches,point)",false,239,9,0.000284,843,
wkt,poi_way/1135060531,poi_way/1135060520,crosses,LineString-LineString,"(linestring,overlaps,linestring)",false,296,11,0.000351,949,
wkt,poi_way/1135060641,poi_way/1135060557,crosses,LineString-LineString,"(linestring,crosses,linestring)",true,273,10,0.000323,1203,
wkt,poi_way/107463303,node_1234984053,contains,LineString-Point,"(linestring,contains,point)",true,253,11,0.000308,1229,
wkt,node_3702366223,polygon_census_550250004021,touches,Point-Polygon,"(point,within,polygon)",false,275,9,0.00032,818,
wkt,poi_way/28773321,poi_way/1135060563,disjoint,LineString-LineString,"(linestring,overlaps,linestring)",false,675,11,0.00073,1659,
wkt,poi_way/106220946,node_1222908505,contains,LineString-Point,"(linestring,contains,point)",true,304,9,0.000349,903,
wkt,poi_way/1134399578,node_6090145354,disjoint,LineString-Point,"(linestring,disjoint,point)",true,242,13,0.000307,1116,
wkt,poi_way/1134399599,node_6090145354,contains,LineString-Point,"(linestring,contains,point)",true,242,9,0.000287,1227,
wkt,node_6090145355,poi_way/1134399595,within,Point-LineString,"(point,touches,linestring)",false,239,9,0.000284,1196,
wkt,poi_node/10180882668,node_3295625110,disjoint,Point-Point,"(point,disjoint,point)",true,197,12,0.000257,938,
wkt,node_9134530140,node_3295625110,disjoint,Point-Point,"(point,disjoint,point)",true,197,12,0.000257,979,
wkt,node_5630875267,polygon_census_550250004021,touches,Point-Polygon,"(point,within,polygon)",false,274,9,0.000319,1568,
wkt,line_poi_way/119858808,node_5818083451,contains,LineString-Point,"(linestring,touches,point)",false,275,9,0.00032,789,
wkt,poi_way/119917654,node_3295625158,contains,LineString-Point,"(linestring,contains,point)",true,242,9,0.000287,955,
wkt,node_5818083431,node_5818083431,equals,Point-Point,"(point,equals,point)",true,197,8,0.000237,1027,
wkt,"road_(53307068, 53307069)",census_550250105041,crosses,LineString-Polygon,"(linestring,within,polygon)",false,348,546,0.003078,4344,
wkt,parcel_70923160059,node_7126876967,disjoint,Polygon-Point,"(polygon,disjoint,point)",true,261,13,0.000326,801,
wkt,poi_way/106220946,node_1222780806,contains,LineString-Point,"(linestring,contains,point)",true,305,9,0.00035,1905,
wkt,node_1221112938,node_10580933524,disjoint,Point-Point,"(point,disjoint,point)",true,195,12,0.000255,823,
wkt,node_3455066013,polygon_census_550250004021,disjoint,Point-Polygon,"(point,disjoint,polygon)",true,275,342,0.001985,2644,
wkt,poi_way/119858808,node_5818083436,contains,LineString-Point,"(linestring,contains,point)",true,264,11,0.000319,1556,
wkt,poi_way/1134399566,node_3295624452,contains,LineString-Point,"(linestring,contains,point)",true,264,11,0.000319,857,
wkt,poi_way/102893567,node_7126876967,contains,LineString-Point,"(linestring,contains,point)",true,389,9,0.000434,1612,
wkt,poi_way/1135060557,node_10580933524,contains,LineString-Point,"(linestring,contains,point)",true,238,9,0.000283,1263,
wkt,node_3295712662,node_3295624452,equals,Point-Point,"(point,equals,point)",true,197,10,0.000247,859,
wkt,poi_way/158450282,node_1706427672,contains,LineString-Point,"(linestring,contains,point)",true,261,9,0.000306,1290,
wkt,node_53459280,polygon_census_550250004021,touches,Point-Polygon,"(point,touches,polygon)",true,275,370,0.002125,2888,
wkt,line_poi_way/148110952,node_1612130696,contains,LineString-Point,"(linestring,contains,point)",true,307,9,0.000352,1356,
wkt,node_3544943705,node_10312211969,disjoint,Point-Point,"(point,disjoint,point)",true,197,12,0.000257,1743,
wkt,poi_way/107454791,node_9134452605,disjoint,LineString-Point,"(linestring,disjoint,point)",true,241,11,0.000296,1200,
wkt,poi_way/100403782,node_3414445023,contains,LineString-Point,"(linestring,contains,point)",true,242,11,0.000297,808,
wkt,line_poi_way/37749303,node_2324400913,contains,LineString-Point,"(linestring,disjoint,point)",false,250,11,0.000305,907,
wkt,poi_way/174188352,node_1859407151,contains,LineString-Point,"(linestring,contains,point)",true,263,9,0.000308,1408,
wkt,poi_way/102893567,node_7126876966,contains,LineString-Point,"(linestring,contains,point)",true,389,9,0.000434,2524,
wkt,poi_way/101606158,census_550250011021,within,LineString-Polygon,"(linestring,within,polygon)",true,296,10,0.000346,1048,
wkt,poi_way/174827529,node_1857660781,contains,LineString-Point,"(linestring,touches,point)",false,272,9,0.000317,1243,
wkt,poi_way/1134399566,poi_way/1134399565,overlaps,LineString-LineString,"(linestring,overlaps,linestring)",true,307,11,0.000362,2172,
wkt,poi_way/1058242998,node_3736906409,contains,LineString-Point,"(linestring,contains,point)",true,242,9,0.000287,1151,
wkt,node_1238019915,node_1202893066,disjoint,Point-Point,"(point,disjoint,point)",true,196,12,0.000256,1007,
wkt,poi_way/106220948,node_1222885318,contains,LineString-Point,"(linestring,contains,point)",true,237,9,0.000282,1792,
wkt,"road_(1178722301, 3455066527)",node_6538229169,contains,LineString-Point,"(linestring,contains,point)",true,209,9,0.000254,2216,
wkt,line_poi_way/37662235,node_10780895541,contains,LineString-Point,"(linestring,contains,point)",true,250,9,0.000295,768,
wkt,"road_(1178722301, 3455066527)",parcel_70929124695,touches,LineString-Polygon,"(linestring,touches,polygon)",true,253,10,0.000303,2398,
wkt,poi_way/43926774,node_1202893051,contains,LineString-Point,"(linestring,contains,point)",true,238,9,0.000283,2159,
