objectid,geometry,subjectid,geometry_subject,geom_type_subject,geom_type,predicate,pid,relate,idx
"road_(9672373399, 9672373376)","LINESTRING (-89.3831 43.136, -89.3831 43.1374)",line_poi_way/250056075,"LINESTRING (-89.3864 43.1365, -89.3847 43.1364, -89.3848 43.1362, -89.3841 43.1362, -89.3841 43.1359, -89.3831 43.1359, -89.3831 43.1376, -89.38446 43.13764, -89.3865 43.1377, -89.3864 43.1365)",LineString,LineString,contains,5.0,101FFFFF2,40
"road_(53567677, 4094503860)","LINESTRING (-89.3582 43.1142, -89.3581 43.1142)","road_(53567677, 5035197656)","LINESTRING (-89.3582 43.1142, -89.358 43.1142)",LineString,LineString,contains,5.0,101F00FF2,41
"road_(6355822626, 5474511978)","LINESTRING (-89.3398 43.093, -89.3398 43.0932)",poi_way/158454839,"LINESTRING (-89.3409 43.0935, -89.3409 43.0923, -89.3398 43.0922, -89.3398 43.0933, -89.3409 43.0938, -89.3409 43.0935)",LineString,LineString,contains,5.0,101FFFFF2,42
"line_road_(53701568, 1596769289)","LINESTRING (-89.4388 43.068, -89.43936 43.068, -89.4396 43.068)",poi_way/303873342,"LINESTRING (-89.4399 43.068, -89.4399 43.0694, -89.4388 43.0698, -89.4388 43.068, -89.4399 43.068)",LineString,LineString,contains,5.0,101FFFFF2,43
"road_(5656937044, 5594913354)","LINESTRING (-89.3409 43.0923, -89.3409 43.0937)",poi_way/158454839,"LINESTRING (-89.3409 43.0935, -89.3409 43.0923, -89.3398 43.0922, -89.3398 43.0933, -89.3409 43.0938, -89.3409 43.0935)",LineString,LineString,contains,5.0,101FFFFF2,44
"road_(3455066691, 2634656387)","LINESTRING (-89.451 43.0562, -89.451 43.0574)",poi_way/86503179,"LINESTRING (-89.4492 43.0586, -89.4493 43.0561, -89.451 43.0561, -89.451 43.0586, -89.4492 43.0586)",LineString,LineString,contains,5.0,101FFFFF2,45
"road_(2559389286, 2559389285)","LINESTRING (-89.5014 43.1147, -89.5014 43.114)",poi_way/192182334,"LINESTRING (-89.5057 43.1138, -89.5039 43.1151, -89.5014 43.115, -89.5014 43.1138, -89.5032 43.1137, -89.5044 43.1129, -89.5057 43.1138)",LineString,LineString,contains,5.0,101FFFFF2,46
"road_(1596769289, 53701568)","LINESTRING (-89.4396 43.068, -89.4388 43.068)",poi_way/303873342,"LINESTRING (-89.4399 43.068, -89.4399 43.0694, -89.4388 43.0698, -89.4388 43.068, -89.4399 43.068)",LineString,LineString,contains,5.0,101FFFFF2,47
"road_(6262998708, 53557821)","LINESTRING (-89.3925 43.0016, -89.3924 43.0016)","road_(53557821, 3576026812)","LINESTRING (-89.3924 43.0016, -89.3926 43.0016)",LineString,LineString,contains,5.0,101F00FF2,48
"road_(53457640, 53457642)","LINESTRING (-89.3304 43.1202, -89.3303 43.1202)",poi_way/297754318,"LINESTRING (-89.3377 43.1202, -89.3377 43.1207, -89.3372 43.1205, -89.3368 43.1216, -89.3367 43.1234, -89.3274 43.1232, -89.3274 43.1235, -89.3279 43.1238, -89.3301 43.1239, -89.3301 43.1246, -89.3253 43.1247, -89.3251 43.1211, -89.3264 43.121, -89.3279 43.1202, -89.3306 43.1202, -89.3307 43.1171, -89.3338 43.1172, -89.3342 43.117, -89.3345 43.114, -89.3381 43.114, -89.3379 43.117, -89.3377 43.1172, -89.3379 43.1173, -89.3377 43.1202)",LineString,LineString,contains,5.0,101FFFFF2,49
"road_(4789043510, 2842212035)","LINESTRING (-89.4887 43.032, -89.4888 43.032)","road_(4789051808, 2842212035)","LINESTRING (-89.4886 43.032, -89.4888 43.032)",LineString,LineString,contains,5.0,101F00FF2,50
"road_(3926505473, 8407128786)","LINESTRING (-89.4075 43.0314, -89.4076 43.0314)","road_(7313157966, 3926505473)","LINESTRING (-89.408 43.0314, -89.4075 43.0314)",LineString,LineString,contains,5.0,101F00FF2,51
"road_(3297233866, 1883218361)","LINESTRING (-89.4934 43.0675, -89.4933 43.0675)",poi_way/177921886,"LINESTRING (-89.4956 43.0675, -89.4956 43.0694, -89.4949 43.0692, -89.4933 43.0694, -89.4933 43.0675, -89.4956 43.0675)",LineString,LineString,contains,5.0,101FFFFF2,52
"road_(9327940392, 9327940393)","LINESTRING (-89.4991 43.0085, -89.4997 43.0085)",poi_way/323552582,"LINESTRING (-89.5032 43.0085, -89.5032 43.0091, -89.5021 43.0105, -89.5008 43.0106, -89.5003 43.0104, -89.4991 43.0103, -89.4991 43.0085, -89.5032 43.0085)",LineString,LineString,contains,5.0,101FFFFF2,53
"road_(5657142535, 53496379)","LINESTRING (-89.3387 43.0922, -89.3386 43.0922)","road_(53496379, 5656899646)","LINESTRING (-89.3386 43.0922, -89.3397 43.0922)",LineString,LineString,contains,5.0,101F00FF2,54
"road_(53319125, 1236925374)","LINESTRING (-89.3996 43.0494, -89.4004 43.0494)",poi_way/258408012,"LINESTRING (-89.399 43.0478, -89.399 43.0481, -89.3996 43.049, -89.3995 43.0494, -89.4005 43.0494, -89.4014 43.0481, -89.4002 43.0476, -89.4 43.0478, -89.399 43.0478)",LineString,LineString,contains,5.0,101FFFFF2,55
"road_(3295236003, 3295236004)","LINESTRING (-89.4939 43.0675, -89.4942 43.0675)",poi_way/177921886,"LINESTRING (-89.4956 43.0675, -89.4956 43.0694, -89.4949 43.0692, -89.4933 43.0694, -89.4933 43.0675, -89.4956 43.0675)",LineString,LineString,contains,5.0,101FFFFF2,56
"road_(53556030, 6534064684)","LINESTRING (-89.2982 43.0946, -89.2982 43.095)",poi_way/695841879,"LINESTRING (-89.2965 43.095, -89.2966 43.0935, -89.2982 43.0936, -89.2982 43.095, -89.2965 43.095)",LineString,LineString,contains,5.0,101FFFFF2,57
"road_(8284422559, 8284422563)","LINESTRING (-89.3953 43.0384, -89.3944 43.0384)",poi_way/757320647,"LINESTRING (-89.3955 43.0384, -89.3958 43.038, -89.3965 43.038, -89.3966 43.0371, -89.395 43.0371, -89.3944 43.0384, -89.3955 43.0384)",LineString,LineString,contains,5.0,101FFFFF2,58
"road_(2559389284, 3891862983)","LINESTRING (-89.5014 43.1138, -89.5014 43.1139)",poi_way/192182334,"LINESTRING (-89.5057 43.1138, -89.5039 43.1151, -89.5014 43.115, -89.5014 43.1138, -89.5032 43.1137, -89.5044 43.1129, -89.5057 43.1138)",LineString,LineString,contains,5.0,101FFFFF2,59
"road_(3891862983, 2559389285)","LINESTRING (-89.5014 43.1139, -89.5014 43.114)",poi_way/192182334,"LINESTRING (-89.5057 43.1138, -89.5039 43.1151, -89.5014 43.115, -89.5014 43.1138, -89.5032 43.1137, -89.5044 43.1129, -89.5057 43.1138)",LineString,LineString,contains,5.0,101FFFFF2,60
"road_(2842212035, 4789043510)","LINESTRING (-89.4888 43.032, -89.4887 43.032)","road_(4789051808, 2842212035)","LINESTRING (-89.4886 43.032, -89.4888 43.032)",LineString,LineString,contains,5.0,101F00FF2,61
"road_(3590603510, 3420767254)","LINESTRING (-89.5175 43.0607, -89.5175 43.0611)",poi_way/287637061,"LINESTRING (-89.5168 43.0606, -89.5168 43.0616, -89.5175 43.0616, -89.5175 43.0606, -89.5168 43.0606)",LineString,LineString,contains,5.0,101FFFFF2,62
"road_(7325731416, 2771578833)","LINESTRING (-89.51 43.1012, -89.5103 43.1012)",poi_way/88892233,"LINESTRING (-89.5093 43.1024, -89.5094 43.1012, -89.5103 43.1012, -89.5102 43.1026, -89.5095 43.1026, -89.5093 43.1024)",LineString,LineString,contains,5.0,101FFFFF2,63
"road_(3035567513, 4139779893)","LINESTRING (-89.415 43.0734, -89.4156 43.0734)","road_(3894523242, 5420761594)","LINESTRING (-89.416 43.0734, -89.415 43.0734)",LineString,LineString,contains,5.0,101F00FF2,64
"road_(5574927975, 2951828414)","LINESTRING (-89.483 43.0318, -89.4831 43.0318)","road_(2951828414, 452827522)","LINESTRING (-89.4831 43.0318, -89.4798 43.0318)",LineString,LineString,contains,5.0,101F00FF2,65
"road_(496896150, 3936979920)","LINESTRING (-89.4371 43.0819, -89.4371 43.0808)",poi_way/232690021,"LINESTRING (-89.4366 43.0792, -89.437 43.0804, -89.4371 43.0819, -89.4371 43.0802, -89.4366 43.0792)",LineString,LineString,contains,5.0,101FFFFF2,66
"road_(3297234015, 3297233876)","LINESTRING (-89.4933 43.0683, -89.4933 43.0676)",poi_way/177921886,"LINESTRING (-89.4956 43.0675, -89.4956 43.0694, -89.4949 43.0692, -89.4933 43.0694, -89.4933 43.0675, -89.4956 43.0675)",LineString,LineString,contains,5.0,101FFFFF2,67
"road_(3573397997, 3210157570)","LINESTRING (-89.5187 43.0751, -89.5186 43.0751)","road_(3210157570, 3420919589)","LINESTRING (-89.5186 43.0751, -89.5188 43.0751)",LineString,LineString,contains,5.0,101F00FF2,68
"road_(5594913354, 1706466027)","LINESTRING (-89.3409 43.0937, -89.3409 43.0938)",poi_way/158454839,"LINESTRING (-89.3409 43.0935, -89.3409 43.0923, -89.3398 43.0922, -89.3398 43.0933, -89.3409 43.0938, -89.3409 43.0935)",LineString,LineString,contains,5.0,101FFFFF2,69
"road_(471252064, 2771715843)","LINESTRING (-89.4981 43.097, -89.498 43.097)","road_(2771715843, 3868484436)","LINESTRING (-89.498 43.097, -89.4983 43.097)",LineString,LineString,contains,5.0,101F00FF2,70
"road_(3297233876, 3297234015)","LINESTRING (-89.4933 43.0676, -89.4933 43.0683)",poi_way/177921886,"LINESTRING (-89.4956 43.0675, -89.4956 43.0694, -89.4949 43.0692, -89.4933 43.0694, -89.4933 43.0675, -89.4956 43.0675)",LineString,LineString,contains,5.0,101FFFFF2,71
"road_(53424247, 53424245)","LINESTRING (-89.3164 43.0886, -89.3164 43.0895)",poi_way/322871021,"LINESTRING (-89.3164 43.0886, -89.3164 43.0911, -89.3142 43.0912, -89.3134 43.0889, -89.314 43.0887, -89.3164 43.0886)",LineString,LineString,contains,5.0,101FFFFF2,72
"road_(3362623518, 53483466)","LINESTRING (-89.4784 43.0661, -89.4784 43.066)",poi_way/256125285,"LINESTRING (-89.482 43.0655, -89.4821 43.0662, -89.48 43.0666, -89.4797 43.0666, -89.4797 43.0664, -89.4784 43.0664, -89.4784 43.0652, -89.4794 43.0652, -89.4802 43.0649, -89.4807 43.0649, -89.4812 43.065, -89.482 43.0655)",LineString,LineString,contains,5.0,101FFFFF2,73
"road_(3702207548, 53614878)","LINESTRING (-89.441 43.0818, -89.4411 43.0818)","road_(53614878, 2614129376)","LINESTRING (-89.4411 43.0818, -89.4409 43.0818)",LineString,LineString,contains,5.0,101F00FF2,74
"road_(3702207550, 2614129376)","LINESTRING (-89.441 43.0818, -89.4409 43.0818)","road_(2614129376, 53614878)","LINESTRING (-89.4409 43.0818, -89.4411 43.0818)",LineString,LineString,contains,5.0,101F00FF2,75
"road_(1706466103, 5474511978)","LINESTRING (-89.3398 43.0933, -89.3398 43.0932)",poi_way/158454839,"LINESTRING (-89.3409 43.0935, -89.3409 43.0923, -89.3398 43.0922, -89.3398 43.0933, -89.3409 43.0938, -89.3409 43.0935)",LineString,LineString,contains,5.0,101FFFFF2,76
"road_(53543540, 1998162788)","LINESTRING (-89.3385 43.0659, -89.338 43.0659)",poi_way/257174438,"LINESTRING (-89.3392 43.0637, -89.3399 43.0641, -89.3402 43.0639, -89.3405 43.0643, -89.3391 43.0659, -89.3377 43.0659, -89.3378 43.0655, -89.3385 43.0648, -89.3376 43.0645, -89.3377 43.0644, -89.3383 43.0647, -89.3392 43.0637)",LineString,LineString,contains,5.0,101FFFFF2,77
"road_(5406279515, 5406279519)","LINESTRING (-89.4264 43.0012, -89.4257 43.0012)","road_(5352926202, 5405886924)","LINESTRING (-89.4257 43.0012, -89.4278 43.0012)",LineString,LineString,contains,5.0,101F00FF2,78
"road_(3297233867, 3295236004)","LINESTRING (-89.4949 43.0675, -89.4942 43.0675)",poi_way/177921886,"LINESTRING (-89.4956 43.0675, -89.4956 43.0694, -89.4949 43.0692, -89.4933 43.0694, -89.4933 43.0675, -89.4956 43.0675)",LineString,LineString,contains,5.0,101FFFFF2,79
"road_(454667367, 454667310)","LINESTRING (-89.486 43.0952, -89.4859 43.0952)","road_(2624146422, 2624146421)","LINESTRING (-89.4858 43.0952, -89.486 43.0952)",LineString,LineString,contains,5.0,101F00FF2,80
"road_(53424245, 53424247)","LINESTRING (-89.3164 43.0895, -89.3164 43.0886)",poi_way/322871021,"LINESTRING (-89.3164 43.0886, -89.3164 43.0911, -89.3142 43.0912, -89.3134 43.0889, -89.314 43.0887, -89.3164 43.0886)",LineString,LineString,contains,5.0,101FFFFF2,81
"road_(2614129376, 3702207550)","LINESTRING (-89.4409 43.0818, -89.441 43.0818)","road_(2614129376, 53614878)","LINESTRING (-89.4409 43.0818, -89.4411 43.0818)",LineString,LineString,contains,5.0,101F00FF2,82
"road_(5717826293, 2573847767)","LINESTRING (-89.4019 43.0584, -89.402 43.0584)","road_(2573847767, 4248803393)","LINESTRING (-89.402 43.0584, -89.4018 43.0584)",LineString,LineString,contains,5.0,101F00FF2,83
"road_(1883218361, 3297233876)","LINESTRING (-89.4933 43.0675, -89.4933 43.0676)",poi_way/177921886,"LINESTRING (-89.4956 43.0675, -89.4956 43.0694, -89.4949 43.0692, -89.4933 43.0694, -89.4933 43.0675, -89.4956 43.0675)",LineString,LineString,contains,5.0,101FFFFF2,84
"road_(53330977, 53536889)","LINESTRING (-89.3946 43.1417, -89.3945 43.1417)",poi_way/250070853,"LINESTRING (-89.3918 43.1338, -89.3915 43.1398, -89.393 43.1411, -89.394 43.1411, -89.3939 43.1417, -89.3954 43.1417, -89.3955 43.1411, -89.3978 43.1411, -89.3979 43.1357, -89.3976 43.1351, -89.3954 43.1339, -89.3956 43.1344, -89.3947 43.1344, -89.3947 43.1338, -89.3918 43.1338)",LineString,LineString,contains,5.0,101FFFFF2,85
"road_(7325731416, 7325731418)","LINESTRING (-89.51 43.1012, -89.5098 43.1012)",poi_way/88892233,"LINESTRING (-89.5093 43.1024, -89.5094 43.1012, -89.5103 43.1012, -89.5102 43.1026, -89.5095 43.1026, -89.5093 43.1024)",LineString,LineString,contains,5.0,101FFFFF2,86
"road_(10781526611, 5035134454)","LINESTRING (-89.3596 43.1142, -89.3592 43.1142)","road_(5035134455, 5035134446)","LINESTRING (-89.3592 43.1142, -89.3602 43.1142)",LineString,LineString,contains,5.0,101F00FF2,87
"road_(53461235, 3891862900)","LINESTRING (-89.5002 43.1163, -89.5001 43.1163)","road_(53461235, 3891862904)","LINESTRING (-89.5002 43.1163, -89.5 43.1163)",LineString,LineString,contains,5.0,101F00FF2,88
"road_(53701568, 1596769289)","LINESTRING (-89.4388 43.068, -89.4396 43.068)",poi_way/303873342,"LINESTRING (-89.4399 43.068, -89.4399 43.0694, -89.4388 43.0698, -89.4388 43.068, -89.4399 43.068)",LineString,LineString,contains,5.0,101FFFFF2,89
"road_(2771715843, 471252064)","LINESTRING (-89.498 43.097, -89.4981 43.097)","road_(2771715843, 3868484436)","LINESTRING (-89.498 43.097, -89.4983 43.097)",LineString,LineString,contains,5.0,101F00FF2,90
"road_(3949217704, 53429525)","LINESTRING (-89.4877 43.0261, -89.4876 43.0261)",poi_way/323365910,"LINESTRING (-89.4889 43.0243, -89.4874 43.024, -89.4858 43.024, -89.4856 43.0247, -89.4853 43.0249, -89.4879 43.0256, -89.4876 43.0261, -89.4878 43.0261, -89.488 43.0256, -89.4889 43.0256, -89.4889 43.0243)",LineString,LineString,contains,5.0,101FFFFF2,91
